market,alias,name,id,conf_name,conf_alias,conf_id,venue_capacity
Stephen F. Austin,SFA,Lumberjacks,5ef64f01-86ae-4553-9834-c79cc0859eaf,Southland,SOUTHLAND,763ae15d-32b0-476d-aa12-0c7f4a3cd423,7203
Central Arkansas,CARK,Bears,dfc2dfb7-aa67-4c48-99c9-4fa6c6bc4355,Southland,SOUTHLAND,763ae15d-32b0-476d-aa12-0c7f4a3cd423,5320
Northwestern State,NWST,Demons,71874e7e-8260-43f9-bb7c-65f267dbe8ce,Southland,SOUTHLAND,763ae15d-32b0-476d-aa12-0c7f4a3cd423,3900
Nicholls State,NICH,Colonels,c0d19efd-d40c-4e32-8e90-dbcb28178b5d,Southland,SOUTHLAND,763ae15d-32b0-476d-aa12-0c7f4a3cd423,3800
Sam Houston State,SHSU,Bearkats,67322042-9c40-4dc2-b33a-4754c02ec82a,Southland,SOUTHLAND,763ae15d-32b0-476d-aa12-0c7f4a3cd423,6110
Houston Baptist,HBU,Huskies,95a27dc5-16d5-4745-9adb-34c41e1444e8,Southland,SOUTHLAND,763ae15d-32b0-476d-aa12-0c7f4a3cd423,1000
Southeastern Louisiana,SELA,Lions,55cd5bb4-b030-4a7a-9652-6cebaf81c574,Southland,SOUTHLAND,763ae15d-32b0-476d-aa12-0c7f4a3cd423,7500
Incarnate Word,IW,Cardinals,912671c7-19fd-451b-813e-885485427820,Southland,SOUTHLAND,763ae15d-32b0-476d-aa12-0c7f4a3cd423,2000
McNeese State,MCNS,Cowboys,d2ef641c-70e4-48bb-b40d-ac654d179205,Southland,SOUTHLAND,763ae15d-32b0-476d-aa12-0c7f4a3cd423,8500
Abilene Christian,AC,Wildcats,a52b2ece-1f87-45b5-ae1e-8d0920479965,Southland,SOUTHLAND,763ae15d-32b0-476d-aa12-0c7f4a3cd423,4600
Texas A&M-CC,AMCC,Islanders,fe21a988-3e96-4f3c-8f9f-b449ccda43b0,Southland,SOUTHLAND,763ae15d-32b0-476d-aa12-0c7f4a3cd423,10000
Lamar,LAM,Cardinals,eda6c307-1e0f-4a28-82f4-ee9653b343fb,Southland,SOUTHLAND,763ae15d-32b0-476d-aa12-0c7f4a3cd423,10080
Oregon,ORE,Ducks,1da70895-f77f-44ef-b216-d63c02e696eb,Pacific 12,PAC12,04d5255d-b2dc-43df-9fa8-d296b0f8ccd7,12364
